date,advancing_stocks,declining_stocks,total_stocks,URSI
2018-06-15,64,78,172,45.07042253521127
2018-06-18,19,125,172,13.194444444444445
2018-06-19,7,146,172,4.57516339869281
2018-06-20,128,23,171,84.76821192052981
2018-06-21,29,118,171,19.727891156462583
2018-06-22,98,38,171,72.05882352941177
2018-06-25,95,50,171,65.51724137931035
2018-06-26,33,102,171,24.444444444444443
2018-06-27,52,84,172,38.23529411764706
2018-06-28,26,125,172,17.218543046357617
2018-06-29,69,69,173,50.0
2018-07-02,21,138,173,13.20754716981132
2018-07-03,13,143,174,8.333333333333332
2018-07-04,89,61,174,59.333333333333336
2018-07-05,18,135,174,11.76470588235294
2018-07-06,122,29,174,80.79470198675497
2018-07-09,64,80,174,44.44444444444444
2018-07-10,66,69,174,48.888888888888886
2018-07-11,18,138,174,11.538461538461538
2018-07-12,87,58,174,60.0
2018-07-13,115,25,174,82.14285714285714
2018-07-16,76,51,174,59.84251968503938
2018-07-17,97,46,174,67.83216783216784
2018-07-18,141,19,174,88.125
2018-07-19,74,72,174,50.68493150684932
2018-07-20,62,84,174,42.465753424657535
2018-07-23,69,77,174,47.26027397260274
2018-07-24,58,93,174,38.41059602649007
2018-07-25,58,82,174,41.42857142857143
2018-07-26,66,78,173,45.83333333333333
2018-07-27,110,40,173,73.33333333333333
2018-07-30,108,41,173,72.48322147651007
2018-07-31,71,73,173,49.30555555555556
2018-08-01,51,97,173,34.45945945945946
2018-08-02,49,89,173,35.507246376811594
2018-08-03,83,65,174,56.08108108108109
2018-08-06,55,85,174,39.285714285714285
2018-08-07,44,93,174,32.11678832116788
2018-08-08,106,41,175,72.10884353741497
2018-08-09,70,74,175,48.61111111111111
2018-08-10,74,59,175,55.639097744360896
2018-08-13,87,59,175,59.589041095890416
2018-08-14,77,73,175,51.33333333333333
2018-08-15,43,114,175,27.388535031847134
2018-08-16,75,58,175,56.390977443609025
2018-08-17,66,73,175,47.482014388489205
2018-08-20,63,77,175,45.0
2018-08-21,101,37,175,73.18840579710145
2018-08-22,77,70,175,52.38095238095239
2018-08-23,81,54,175,60.0
2018-08-24,82,60,175,57.74647887323944
2018-08-27,80,64,175,55.55555555555556
2018-08-28,76,67,175,53.14685314685315
2018-08-29,58,87,175,40.0
2018-08-30,106,43,175,71.14093959731544
2018-08-31,51,91,175,35.91549295774648
2018-09-04,46,114,175,28.749999999999996
2018-09-05,43,107,175,28.666666666666668
2018-09-06,50,100,176,33.33333333333333
2018-09-07,101,43,176,70.13888888888889
2018-09-10,56,84,176,40.0
2018-09-11,110,37,176,74.82993197278913
2018-09-12,80,74,176,51.94805194805194
